Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,16 Jul 2008,Dividend - Rs. - 12.0000,-,18 Jul 2008,24 Jul 2008,11 Jul 2008,17 Jul 2008,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,14 Jul 2009,Dividend - Rs. - 12.0000,-,16 Jul 2009,27 Jul 2009,09 Jul 2009,15 Jul 2009,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,14 Jul 2010,Dividend - Rs. - 12.0000,-,16 Jul 2010,21 Jul 2010,09 Jul 2010,15 Jul 2010,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,16 Sep 2010,Bonus issue 2:5,18 Sep 2010,-,-,13 Sep 2010,16 Sep 2010,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,17 Feb 2011,Right Issue of Equity Shares ,18 Feb 2011,-,-,10 Feb 2011,17 Feb 2011,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,21 Jul 2011,Dividend - Rs. - 12.0000,-,25 Jul 2011,27 Jul 2011,18 Jul 2011,22 Jul 2011,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,19 Jul 2012,Dividend - Rs. - 14.0000,-,23 Jul 2012,30 Jul 2012,16 Jul 2012,20 Jul 2012,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,11 Jul 2013,Dividend - Rs. - 14.0000,-,15 Jul 2013,19 Jul 2013,08 Jul 2013,12 Jul 2013,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,03 Jul 2014,Dividend - Rs. - 13.0000,-,07 Jul 2014,23 Jul 2014,27 Jun 2014,04 Jul 2014,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,10 Jul 2015,Dividend - Rs. - 13.0000,-,14 Jul 2015,22 Jul 2015,07 Jul 2015,13 Jul 2015,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,21 Mar 2016,Interim Dividend - Rs. - 10.0000,22 Mar 2016,-,-,15 Mar 2016,21 Mar 2016,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,12 Jul 2016,Final Dividend - Rs. - 4.0000,-,14 Jul 2016,21 Jul 2016,07 Jul 2016,13 Jul 2016,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,17 Nov 2016,Stock  Split From Rs.10/- to Rs.2/-,18 Nov 2016,-,-,10 Nov 2016,17 Nov 2016,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,12 Jul 2017,Dividend - Rs. - 2.6000,-,14 Jul 2017,21 Jul 2017,07 Jul 2017,13 Jul 2017,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,12 Oct 2017,Right Issue of Equity Shares ,13 Oct 2017,-,-,06 Oct 2017,12 Oct 2017,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,11 Jul 2018,Dividend - Rs. - 0.6000,-,13 Jul 2018,16 Jul 2018,06 Jul 2018,12 Jul 2018,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,14 Aug 2018,Bonus issue 1:10,18 Aug 2018,-,-,10 Aug 2018,14 Aug 2018,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,10 Jul 2019,Dividend - Rs. - 0.6000,-,12 Jul 2019,18 Jul 2019,05 Jul 2019,11 Jul 2019,-
