security code,security name,revenue,income,expenditure,profit,eps,year,quartile
512404,BENGALS,,1.03,-0.90,0.12,0.02,2007,3
512404,BENGALS,,1.11,-0.81,0.25,0.05,2007,4
512404,BENGALS,,0.79,-0.84,-0.05,-0.01,2008,1
512404,BENGALS,,0.46,-0.65,0.25,0.05,2008,2
512404,BENGALS,0.98,0.98,-0.94,0.01,,2008,3
512404,BENGALS,0.64,0.64,-0.65,-0.04,-0.01,2008,4
512404,BENGALS,2.07,2.07,-0.43,0.71,0.15,2009,1
512404,BENGALS,0.65,0.65,-0.37,1.25,0.25,2009,2
512404,BENGALS,1.47,0.62,-0.85,-3.30,,2009,3
512404,BENGALS,1.24,1.24,-0.82,0.15,0.03,2009,4
512404,BENGALS,2.40,1.16,-1.90,5.20,1.06,2010,1
512404,BENGALS,1.20,1.20,-0.80,-1.10,,2010,2
512404,BENGALS,1.78,1.78,-0.87,1.66,0.34,2010,3
512404,BENGALS,1.32,1.32,-0.67,0.73,0.15,2010,4
512404,BENGALS,1.22,1.22,-0.83,0.53,0.11,2011,1
512404,BENGALS,1.20,1.20,-0.61,0.54,0.11,2011,2
512404,BENGALS,1.20,1.20,-0.81,1.17,0.24,2011,3
512404,BENGALS,1.20,1.20,-0.56,0.69,0.14,2011,4
512404,BENGALS,1.22,0.17,-0.06,1.93,0.39,2012,1
512404,BENGALS,1.20,1.20,-0.05,0.62,0.13,2012,2
512404,BENGALS,1.20,0.74,-0.13,1.14,0.23,2012,3
512404,BENGALS,1.20,1.20,-0.13,0.94,0.19,2012,4
512404,BENGALS,1.20,1.20,-0.12,0.34,0.07,2013,1
512404,BENGALS,1.20,1.20,-0.07,0.40,0.08,2013,2
512404,BENGALS,1.20,1.20,-0.17,-0.71,-0.15,2013,3
512404,BENGALS,1.20,1.20,-0.38,1.46,0.30,2013,4
512404,BENGALS,1.20,1.20,-0.08,0.79,0.16,2014,2
512404,BENGALS,6.72,5.52,-0.14,6.45,1.32,2014,3
512404,BENGALS,2.19,2.19,-0.14,1.06,0.22,2014,4
512404,BENGALS,2.14,2.14,-0.15,1.09,0.22,2015,1
512404,BENGALS,1.20,1.20,-0.15,1.02,0.21,2015,2
512404,BENGALS,1.20,1.20,-0.11,1.79,0.36,2015,3
512404,BENGALS,1.20,1.20,-0.02,-2.83,-0.57,2015,4
512404,BENGALS,1.20,1.20,-0.85,0.25,0.05,2016,1
512404,BENGALS,1.20,1.20,-0.04,0.68,0.14,2016,2
512404,BENGALS,1.20,1.20,-0.03,0.78,0.16,2016,3
512404,BENGALS,,-1.10,-0.03,-0.84,-0.17,2016,4
512404,BENGALS,0.60,0.67,-0.81,-0.51,,2017,1
512404,BENGALS,,0.21,-0.73,-0.53,-0.11,2017,2
512404,BENGALS,0.02,0.02,-0.27,-0.51,-0.10,2017,3
512404,BENGALS,,,-1.12,-1.12,-0.23,2017,4
512404,BENGALS,,0.10,-0.76,-0.95,-0.19,2018,1
512404,BENGALS,,,-3.75,-3.97,-0.81,2018,2
512404,BENGALS,,,-0.58,-0.92,-0.19,2018,3
512404,BENGALS,,,-0.11,-0.31,-0.06,2018,4
512404,BENGALS,,0.16,-0.38,-0.24,-0.05,2019,1
512404,BENGALS,,,-0.47,-0.47,-0.10,2019,2
512404,BENGALS,,,-0.43,-0.46,-0.09,2019,3
512404,BENGALS,2.40,2.40,-0.24,1.84,0.38,2019,4
512404,BENGALS,1.20,1.34,-0.20,0.83,0.17,2020,1
512404,BENGALS,1.20,1.23,-0.36,0.67,0.14,2020,2
512404,BENGALS,1.20,1.20,-0.26,0.76,0.16,2020,3
512404,BENGALS,1.20,2.68,-0.29,1.73,0.35,2020,4
