Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,28.85,28.85,28.85,28.85,28.85,400,2,11540.0,400.0,100.0,0.0,0.0,1620086400.0
2020-12-31,27.5,27.5,27.5,27.5,27.5,10,1,275.0,10.0,100.0,0.0,0.0,1609372800.0
2020-12-18,27.5,27.5,27.5,27.5,27.5,500,2,13750.0,500.0,100.0,0.0,0.0,1608249600.0
2020-12-08,28.0,28.0,28.0,28.0,28.0,500,2,14000.0,500.0,100.0,0.0,0.0,1607385600.0
2020-12-03,28.0,28.0,28.0,28.0,28.0,500,1,14000.0,500.0,100.0,0.0,0.0,1606953600.0
2020-11-23,28.1,28.1,28.1,28.1,28.09989373007439,941,1,26442.0,941.0,100.0,0.0,0.0,1606089600.0
2020-11-20,29.5,29.5,29.5,29.5,29.444444444444443,9,1,265.0,9.0,100.0,0.0,0.0,1605830400.0
2020-11-19,29.5,29.5,29.5,29.5,29.499001996007983,501,1,14779.0,501.0,100.0,0.0,0.0,1605744000.0
2020-11-18,29.95,30.0,29.95,30.0,29.998,500,2,14999.0,500.0,100.0,0.05,0.05,1605657600.0
2020-11-13,31.5,31.5,31.5,31.5,31.5,100,3,3150.0,100.0,100.0,0.0,0.0,1605225600.0
2020-11-12,33.0,33.0,33.0,33.0,33.0,4,2,132.0,4.0,100.0,0.0,0.0,1605139200.0
2020-11-11,33.0,33.0,33.0,33.0,33.0,73,1,2409.0,73.0,100.0,0.0,0.0,1605052800.0
2020-11-10,33.0,33.0,33.0,33.0,33.0,100,1,3300.0,100.0,100.0,0.0,0.0,1604966400.0
2020-10-27,34.6,34.6,34.6,34.6,34.6,35,2,1211.0,35.0,100.0,0.0,0.0,1603756800.0
2020-09-24,35.0,35.0,34.6,34.6,34.6,125,3,4325.0,125.0,100.0,0.4,-0.4,1600905600.0
2020-09-15,34.4,34.4,34.4,34.4,34.4,100,1,3440.0,100.0,100.0,0.0,0.0,1600128000.0
2020-09-09,36.05,36.05,36.05,36.05,36.05,400,2,14420.0,400.0,100.0,0.0,0.0,1599609600.0
2020-09-08,34.4,34.4,34.4,34.4,34.4,100,1,3440.0,100.0,100.0,0.0,0.0,1599523200.0
2020-08-20,36.0,36.0,36.0,36.0,36.0,100,1,3600.0,100.0,100.0,0.0,0.0,1597881600.0
2020-08-12,34.3,34.3,34.3,34.3,34.29090909090909,55,1,1886.0,55.0,100.0,0.0,0.0,1597190400.0
2020-08-10,34.25,34.3,34.25,34.3,34.287553648068666,233,5,7989.0,233.0,100.0,0.05,0.05,1597017600.0
2020-08-07,34.3,34.3,34.3,34.3,34.3,1000,8,34300.0,1000.0,100.0,0.0,0.0,1596758400.0
2020-08-06,34.5,34.5,34.5,34.5,34.5,100,1,3450.0,100.0,100.0,0.0,0.0,1596672000.0
2020-07-06,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1593993600.0
2020-06-22,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1592784000.0
2020-06-17,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1592352000.0
2020-06-16,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1592265600.0
2020-06-15,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1592179200.0
2020-06-10,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1591747200.0
2020-06-09,34.0,34.0,34.0,34.0,34.0,1,1,34.0,1.0,100.0,0.0,0.0,1591660800.0
