SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
500002,ABB LTD.    ,A ,Q,1378.65,1386.3,1367.0,1370.95,1376.35,1375.0,967,9179,12609277.0,,2021-05-05
500003,AEGIS LOGIS ,A ,Q,328.4,332.65,322.0,326.85,326.85,323.7,1895,44504,14607452.0,,2021-05-05
500008,AMAR RAJA BA,A ,Q,766.0,776.95,766.0,769.65,769.65,767.4,4476,130979,100660280.0,,2021-05-05
500009,A.SARABHAI  ,X ,Q,26.6,26.6,25.45,25.6,25.6,25.9,264,98892,2549900.0,,2021-05-05
500010,HDFC        ,A ,Q,2393.15,2402.95,2354.1,2378.25,2378.25,2377.25,9250,99763,237203518.0,,2021-05-05
500012,ANDHRA PETRO,X ,Q,65.9,68.55,65.05,68.15,68.15,65.6,812,209699,14101467.0,,2021-05-05
500013,ANSAL INFRAS,B ,Q,5.98,5.98,5.5,5.75,5.75,5.71,68,44084,250467.0,,2021-05-05
500014,UTIQUE      ,X ,Q,2.32,2.32,2.32,2.32,2.32,2.44,30,15140,35124.0,,2021-05-05
500016,ARUNAHTEL   ,XT,Q,7.26,7.5,6.8,6.8,6.8,7.15,8,1344,9521.0,,2021-05-05
500020,BOM DYEING  ,A ,Q,67.1,67.9,66.7,67.15,67.15,67.1,917,108599,7308508.0,,2021-05-05
500023,ASIANHOTNR  ,B ,Q,64.95,66.8,64.0,65.85,66.45,65.9,18,434,28283.0,,2021-05-05
500027,ATUL LTD.   ,A ,Q,8250.0,8314.95,8158.4,8290.25,8276.0,8142.5,416,10854,89528649.0,,2021-05-05
500028,ATV PROJECTS,XT,Q,4.01,4.41,4.01,4.41,4.41,4.2,43,4870,21412.0,,2021-05-05
500031,BAJAJ ELECT.,A ,Q,1179.0,1179.0,1133.0,1150.8,1150.8,1147.8,791,6152,7065383.0,,2021-05-05
500032,BAJAJHIND   ,A ,Q,8.98,9.38,8.76,9.07,9.07,8.73,3067,2783131,25335086.0,,2021-05-05
500033,FORCE MOTR  ,A ,Q,1137.0,1146.0,1104.1,1109.4,1109.4,1112.65,168,868,968273.0,,2021-05-05
500034,BAJFINANCE  ,A ,Q,5656.0,5708.9,5453.0,5517.0,5517.0,5615.25,15454,176794,980846012.0,,2021-05-05
500038,BALRAM.CHINI,A ,Q,305.0,324.7,305.0,318.15,318.15,299.2,6985,427966,135781851.0,,2021-05-05
500039,BANCO PROD. ,B ,Q,154.55,159.9,152.2,154.8,154.8,153.8,1041,18115,2801972.0,,2021-05-05
500040,CENTURY TEXT,A ,Q,481.95,485.95,470.0,472.55,472.55,474.75,792,23372,11184050.0,,2021-05-05
500041,BANNARI AMAN,A ,Q,1906.9,1988.0,1900.0,1931.65,1985.9,1885.65,60,218,422497.0,,2021-05-05
500042,BASF INDIA  ,A ,Q,2309.65,2380.0,2289.7,2317.0,2306.5,2277.75,558,3015,7028964.0,,2021-05-05
500043,BATA INDIA  ,A ,Q,1358.8,1368.0,1354.15,1359.55,1360.0,1358.8,1599,23157,31518053.0,,2021-05-05
500048,BEML LTD    ,A ,Q,1167.0,1192.75,1167.0,1184.55,1184.55,1162.5,987,45650,53767712.0,,2021-05-05
500049,BHARAT ELECT,A ,Q,133.2,138.5,132.55,137.9,137.9,132.8,7921,1273005,172793163.0,,2021-05-05
500052,BHANSALI ENG,A ,Q,167.45,169.4,161.5,164.15,164.15,164.45,1161,117269,19332935.0,,2021-05-05
500055,TATASTLBSL  ,B ,Q,105.0,108.0,90.15,93.6,93.6,98.65,21481,3998825,387996326.0,,2021-05-05
500058,BIHAR SPONGE,XT,Q,4.65,4.65,4.65,4.65,4.65,4.56,16,18799,87415.0,,2021-05-05
500060,BIRLACABLE  ,B ,Q,59.6,61.0,59.1,59.35,59.1,60.65,250,3342,199399.0,,2021-05-05
500067,BLUE STAR   ,A ,Q,835.0,847.0,830.65,836.3,839.3,834.0,351,3112,2602003.0,,2021-05-05
500068,DISA INDIA  ,X ,Q,4525.0,4587.95,4420.0,4559.65,4550.0,4630.0,53,196,884137.0,,2021-05-05
500069,BNK CAPITAL ,XT,Q,188.9,189.6,188.15,189.35,189.35,188.35,6,67,12680.0,,2021-05-05
500074,BPL LTD.    ,B ,Q,29.65,31.0,29.4,29.4,29.4,30.9,310,34058,1006994.0,,2021-05-05
500078,OAL         ,B ,Q,915.0,921.65,890.0,895.2,891.8,909.6,291,2737,2489953.0,,2021-05-05
500083,CENTURY EXT ,B ,Q,5.9,6.0,5.64,5.79,5.8,5.55,186,45500,263783.0,,2021-05-05
500084,CESC LTD.   ,A ,Q,615.45,635.05,615.45,632.85,632.85,622.6,383,6772,4255942.0,,2021-05-05
500085,CHAMBAL FERT,A ,Q,216.9,218.3,214.2,216.7,216.95,213.3,1048,49925,10799206.0,,2021-05-05
500086,EXIDE IND.  ,A ,Q,183.8,183.8,181.05,182.75,182.75,181.3,1571,128899,23520492.0,,2021-05-05
500087,CIPLA LTD.  ,A ,Q,885.0,899.0,869.55,888.7,888.7,878.55,14548,657014,582297126.0,,2021-05-05
500089,DIC INDIA   ,B ,Q,385.05,391.4,382.65,385.0,384.05,388.1,21,290,112245.0,,2021-05-05
500092,CRISIL LTD  ,A ,Q,1890.0,1898.9,1877.35,1892.1,1896.6,1901.05,82,317,599104.0,,2021-05-05
500093,CGPOWER     ,B ,Q,77.9,80.45,76.5,80.45,80.45,76.65,1908,645741,51634337.0,,2021-05-05
500096,DABUR (I)   ,A ,Q,541.0,542.0,536.9,541.2,542.0,537.25,839,27420,14811838.0,,2021-05-05
500097,DALMIASUG   ,A ,Q,279.7,291.5,273.1,283.65,284.6,270.15,2354,73355,20762462.0,,2021-05-05
500101,ARVIND Ltd  ,A ,Q,72.2,73.1,70.3,72.9,72.9,70.65,2153,163361,11770259.0,,2021-05-05
500102,BALARPUR IND,Z ,Q,1.1,1.15,1.1,1.12,1.13,1.15,220,555840,621070.0,,2021-05-05
500103,BHEL        ,A ,Q,53.45,57.65,53.15,56.6,56.6,52.45,19003,8441687,465919816.0,,2021-05-05
