DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-06,500002,1954,2699256,5401,7450349,36.18
2021-05-06,500003,4765,1551008,10228,3339983,46.59
2021-05-06,500008,30464,23783245,107987,84684230,28.21
2021-05-06,500009,205056,5474996,331338,8672032,61.89
2021-05-06,500010,38601,93821661,90010,217319828,42.89
2021-05-06,500012,186344,12634124,245656,16929650,75.86
2021-05-06,500013,34743,190740,36655,201415,94.78
2021-05-06,500014,8291,19236,8291,18492,100.0
2021-05-06,500020,266646,18958531,716300,50824515,37.23
2021-05-06,500023,436,28035,524,33919,83.21
2021-05-06,500027,393,3316803,1043,8779185,37.68
2021-05-06,500028,7040,31165,7040,31165,100.0
2021-05-06,500031,7615,8507859,19655,22071924,38.74
2021-05-06,500032,1157800,10350732,2727566,24272185,42.45
2021-05-06,500033,5770,6829949,13686,16022872,42.16
2021-05-06,500034,16371,90516897,99748,552170711,16.41
2021-05-06,500038,26156,8135824,99440,30830444,26.3
2021-05-06,500039,3994,616674,14306,2215058,27.92
2021-05-06,500040,14689,7008857,95315,45480661,15.41
2021-05-06,500041,285,557589,385,748384,74.03
2021-05-06,500042,678,1555027,4103,9421288,16.52
2021-05-06,500043,3719,5032365,11142,15143205,33.38
2021-05-06,500048,1314,1563660,4951,5892340,26.54
2021-05-06,500049,507690,72295056,1518409,212793081,33.44
2021-05-06,500052,111011,18616545,439379,74286907,25.27
2021-05-06,500055,1118006,97434223,3007650,269346652,37.17
2021-05-06,500058,5150,24411,5150,24411,100.0
2021-05-06,500060,5523,342979,15267,936943,36.18
2021-05-06,500067,2676,2217066,6044,5034975,44.28
2021-05-06,500068,94,423470,104,466391,90.38
2021-05-06,500069,7526,1429003,7526,1429003,100.0
2021-05-06,500074,54225,1672842,70018,2064928,77.44
2021-05-06,500078,918,822850,2366,2149760,38.8
2021-05-06,500083,115156,622994,137939,749146,83.48
2021-05-06,500084,166991,104561415,178010,112114881,93.81
2021-05-06,500085,41121,9118582,139344,30820662,29.51
2021-05-06,500086,42249,7725230,130726,24005943,32.32
2021-05-06,500087,184933,163443786,922719,828400699,20.04
2021-05-06,500089,310,120776,311,120358,99.68
2021-05-06,500092,783,1475642,1011,1914149,77.45
2021-05-06,500093,976448,82461034,1792298,149917305,54.48
2021-05-06,500096,32766,17872215,94410,51261578,34.71
2021-05-06,500097,10707,2978688,27341,7542326,39.16
2021-05-06,500101,62506,4600442,150649,11035111,41.49
2021-05-06,500102,574246,634166,574246,634166,100.0
2021-05-06,500103,2006017,116348986,10316883,599769657,19.44
2021-05-06,500104,117658,28902688,264605,65340484,44.47
2021-05-06,500106,211868,2322074,287038,3157543,73.81
2021-05-06,500108,236042,4024517,362609,6198340,65.1
2021-05-06,500109,70275,3099128,218526,9584455,32.16
2021-05-06,500110,100449,10928852,131059,14194043,76.64
2021-05-06,500111,144679,1574108,255407,2719153,56.65
2021-05-06,500112,515505,183262028,2161771,766015634,23.85
2021-05-06,500113,687787,91922733,6024874,796540554,11.42
2021-05-06,500114,8509,12283167,41643,59968615,20.43
2021-05-06,500116,3361068,136123254,10159112,418803396,33.08
2021-05-06,500117,152116,5392513,300277,10785645,50.66
2021-05-06,500119,26232,6946234,93563,24212956,28.04
2021-05-06,500120,9999,3296171,12470,4106789,80.18
2021-05-06,500123,887,3220831,1225,4519029,72.41
2021-05-06,500124,8467,43737559,40139,207997359,21.09
2021-05-06,500125,17496,7354444,66962,27399524,26.13
2021-05-06,500126,363,2276192,698,4404392,52.01
