Code,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
500002,2021-05-04,1370.0,1398.85,1366.0,1375.0,1390.5773845230954,6668,934,9272370.0,2333,34.99,32.84999999999991,5.0,1620086400.0
500003,2021-05-04,314.0,330.0,314.0,323.7,322.82216979948305,159388,4873,51453980.0,47961,30.09,16.0,9.699999999999989,1620086400.0
500008,2021-05-04,782.4,787.4,765.0,767.4,774.9740900319404,120224,8184,93170485.0,41023,34.12,22.399999999999977,-15.0,1620086400.0
500009,2021-05-04,27.5,27.8,25.5,25.9,26.633339116856078,207486,585,5526045.0,144002,69.4,2.3000000000000007,-1.6000000000000014,1620086400.0
500010,2021-05-04,2423.0,2434.9,2372.3,2377.25,2402.7876567524304,214271,13624,514847714.0,138353,64.57,62.59999999999991,-45.75,1620086400.0
500012,2021-05-04,65.9,67.5,65.2,65.6,66.59891791339155,240831,979,16039084.0,190869,79.25,2.299999999999997,-0.30000000000001137,1620086400.0
500013,2021-05-04,5.84,5.84,5.64,5.71,5.755558998992795,25814,38,148574.0,23655,91.64,0.20000000000000018,-0.1299999999999999,1620086400.0
500014,2021-05-04,2.44,2.44,2.44,2.44,2.4397727272727274,1760,10,4294.0,1760,100.0,0.0,0.0,1620086400.0
500016,2021-05-04,7.1,7.2,7.1,7.15,7.1,340,3,2414.0,340,100.0,0.10000000000000053,0.05000000000000071,1620086400.0
500020,2021-05-04,68.5,69.0,66.8,67.1,67.88340562694583,209101,1292,14194488.0,78233,37.41,2.200000000000003,-1.4000000000000057,1620086400.0
500023,2021-05-04,65.95,68.95,64.4,65.9,67.24912280701754,1425,35,95830.0,501,35.16,4.549999999999997,-0.04999999999999716,1620086400.0
500027,2021-05-04,8200.0,8233.95,8119.85,8142.5,8163.849785407725,1165,484,9510885.0,513,44.03,114.10000000000036,-57.5,1620086400.0
500028,2021-05-04,4.05,4.26,4.05,4.2,4.142513784815495,7073,33,29300.0,7073,100.0,0.20999999999999996,0.15000000000000036,1620086400.0
500031,2021-05-04,1200.0,1200.0,1135.0,1147.8,1171.6503560762692,4353,657,5100194.0,1635,37.56,65.0,-52.200000000000045,1620086400.0
500032,2021-05-04,9.8,10.16,8.57,8.73,9.259584185671345,12372830,11617,114567261.0,5591639,45.19,1.5899999999999999,-1.0700000000000003,1620086400.0
500033,2021-05-04,1125.0,1142.0,1105.2,1112.65,1126.343294201352,2811,439,3166151.0,2017,71.75,36.799999999999955,-12.349999999999909,1620086400.0
500034,2021-05-04,5604.45,5749.3,5560.0,5615.25,5675.111718096008,277144,25893,1572823162.0,69045,24.91,189.30000000000018,10.800000000000182,1620086400.0
500038,2021-05-04,327.8,344.4,297.05,299.2,321.92633061427244,549577,6982,176923307.0,110210,20.05,47.349999999999966,-28.600000000000023,1620086400.0
500039,2021-05-04,156.0,158.35,153.05,153.8,155.53552673204683,15805,564,2458239.0,10024,63.42,5.299999999999983,-2.1999999999999886,1620086400.0
500040,2021-05-04,493.35,507.0,471.65,474.75,493.15542672373886,140407,2777,69242474.0,22885,16.3,35.35000000000002,-18.600000000000023,1620086400.0
500041,2021-05-04,1999.0,2145.0,1870.0,1885.65,2022.655233069481,1137,210,2299759.0,588,51.72,275.0,-113.34999999999991,1620086400.0
500042,2021-05-04,2300.85,2392.75,2261.0,2277.75,2333.9700445053063,5842,1075,13635053.0,1279,21.89,131.75,-23.09999999999991,1620086400.0
500043,2021-05-04,1357.0,1388.0,1338.65,1358.8,1358.5690162798753,23096,1398,31377510.0,3518,15.23,49.34999999999991,1.7999999999999545,1620086400.0
500048,2021-05-04,1168.0,1229.75,1153.0,1162.5,1191.803775523308,38935,2008,46402880.0,5332,13.69,76.75,-5.5,1620086400.0
500049,2021-05-04,130.5,137.2,130.5,132.8,134.44966793794237,879956,4675,118309792.0,155435,17.66,6.699999999999989,2.3000000000000114,1620086400.0
500052,2021-05-04,164.9,174.9,159.65,164.45,169.68134486631652,637476,8044,108167785.0,241715,37.92,15.25,-0.45000000000001705,1620086400.0
500055,2021-05-04,92.7,103.2,90.95,98.65,98.92739181896141,4765923,33980,471480332.0,1818333,38.15,12.25,5.950000000000003,1620086400.0
500058,2021-05-04,4.56,4.56,4.56,4.56,4.56,3250,13,14820.0,3250,100.0,0.0,0.0,1620086400.0
500060,2021-05-04,61.0,63.0,60.45,60.65,61.819430733794015,12156,416,751477.0,9081,74.7,2.549999999999997,-0.3500000000000014,1620086400.0
500067,2021-05-04,846.0,860.0,819.95,834.0,838.1422918245348,11877,1410,9954616.0,4066,34.23,40.049999999999955,-12.0,1620086400.0
500068,2021-05-04,4649.0,4650.0,4600.0,4630.0,4620.033333333334,150,42,693005.0,129,86.0,50.0,-19.0,1620086400.0
500069,2021-05-04,188.05,188.35,188.05,188.35,188.14650616559013,3406,27,640827.0,3406,100.0,0.29999999999998295,0.29999999999998295,1620086400.0
500074,2021-05-04,32.55,33.9,30.9,30.9,31.779283817199378,54595,701,1734990.0,41979,76.89,3.0,-1.6499999999999986,1620086400.0
500078,2021-05-04,924.8,938.15,900.0,909.6,920.5466732869911,4028,316,3707962.0,2847,70.68,38.14999999999998,-15.199999999999932,1620086400.0
500083,2021-05-04,6.45,6.79,5.3,5.55,6.133583209100871,212639,543,1304239.0,126206,59.35,1.4900000000000002,-0.9000000000000004,1620086400.0
500084,2021-05-04,629.7,646.4,620.1,622.6,634.6898212809623,35083,1222,22266823.0,11853,33.79,26.299999999999955,-7.100000000000023,1620086400.0
500085,2021-05-04,219.2,222.9,212.35,213.3,217.1058133854421,51175,2243,11110390.0,22198,43.38,10.550000000000011,-5.899999999999977,1620086400.0
500086,2021-05-04,183.9,184.4,180.55,181.3,182.69840198126653,361385,4924,66024462.0,201891,55.87,3.8499999999999943,-2.5999999999999943,1620086400.0
500087,2021-05-04,914.0,914.0,876.1,878.55,888.8896217270818,321884,10228,286119347.0,90370,28.08,37.89999999999998,-35.450000000000045,1620086400.0
500089,2021-05-04,392.7,395.95,388.0,388.1,390.64181818181817,550,42,214853.0,419,76.18,7.949999999999989,-4.599999999999966,1620086400.0
500092,2021-05-04,1916.9,1920.0,1891.55,1901.05,1907.0531722054382,1655,452,3156173.0,1051,63.5,28.450000000000045,-15.850000000000136,1620086400.0
500093,2021-05-04,75.9,76.75,75.5,76.65,76.51026427697626,1029980,2763,78804042.0,699867,67.95,1.25,0.75,1620086400.0
500096,2021-05-04,546.9,546.9,535.4,537.25,539.6638492388632,46378,1239,25028530.0,12643,27.26,11.5,-9.649999999999977,1620086400.0
500097,2021-05-04,305.0,310.4,262.4,270.15,284.65452491305444,146931,4218,41824574.0,67005,45.6,48.0,-34.85000000000002,1620086400.0
500101,2021-05-04,71.75,74.85,70.0,70.65,72.71917058192446,270310,1868,19656719.0,106135,39.26,4.849999999999994,-1.0999999999999943,1620086400.0
500102,2021-05-04,1.14,1.15,1.1,1.15,1.1305467785138017,311735,127,352431.0,311735,100.0,0.04999999999999982,0.010000000000000009,1620086400.0
500103,2021-05-04,55.0,56.85,51.65,52.45,54.307924236498984,10161938,19229,551873759.0,1873625,18.44,5.200000000000003,-2.549999999999997,1620086400.0
500104,2021-05-04,236.0,244.8,236.0,241.45,242.27655096656298,389628,3958,94397728.0,193224,49.59,8.800000000000011,5.449999999999989,1620086400.0
500106,2021-05-04,10.8,11.42,10.8,10.96,11.22395668765039,987432,7001,11082894.0,482407,48.85,0.6199999999999992,0.16000000000000014,1620086400.0
500108,2021-05-04,16.35,16.65,15.95,16.05,16.288237659120337,338266,1069,5509757.0,172493,50.99,0.6999999999999993,-0.3000000000000007,1620086400.0
500109,2021-05-04,44.3,46.2,43.25,43.6,44.691412041331276,663033,2195,29631881.0,185586,27.99,2.950000000000003,-0.6999999999999957,1620086400.0
500110,2021-05-04,108.25,114.4,106.4,109.05,111.30401993737108,200227,2384,22286070.0,92502,46.2,8.0,0.7999999999999972,1620086400.0
500111,2021-05-04,11.35,11.35,10.27,10.29,10.87298633179754,1091292,2423,11865603.0,535441,49.06,1.08,-1.0600000000000005,1620086400.0
500112,2021-05-04,355.0,362.75,350.2,351.6,357.71886007806984,2939675,24266,1051577190.0,521835,17.75,12.550000000000011,-3.3999999999999773,1620086400.0
500113,2021-05-04,129.95,135.6,126.2,127.95,131.50545287259231,11062151,39608,1454733177.0,1844060,16.67,9.399999999999991,-1.9999999999999858,1620086400.0
500114,2021-05-04,1429.6,1439.95,1400.65,1403.8,1410.4293133868443,80482,4501,113514172.0,26255,32.62,39.299999999999955,-25.799999999999955,1620086400.0
500116,2021-05-04,37.45,38.0,36.1,36.35,37.25156668845364,3445484,9512,128349677.0,1465586,42.54,1.8999999999999986,-1.1000000000000014,1620086400.0
500117,2021-05-04,39.1,39.7,37.15,37.4,38.31820808571451,512212,1550,19627046.0,165231,32.26,2.5500000000000043,-1.7000000000000028,1620086400.0
500119,2021-05-04,278.0,289.0,245.0,247.9,264.7012458002557,639027,9880,169151243.0,211451,33.09,44.0,-30.099999999999994,1620086400.0
500120,2021-05-04,337.0,347.4,323.55,328.85,337.3335345286703,28165,626,9500999.0,15536,55.16,23.849999999999966,-8.149999999999977,1620086400.0
500123,2021-05-04,3710.0,3750.0,3580.0,3688.45,3686.970709006296,3653,439,13468504.0,2430,66.52,170.0,-21.550000000000182,1620086400.0
500124,2021-05-04,5200.0,5235.9,5055.75,5067.3,5117.708432210094,37926,3651,194094210.0,8966,23.64,180.14999999999964,-132.69999999999982,1620086400.0
500125,2021-05-04,411.9,433.65,383.0,388.45,407.00459217678963,327078,8547,133122248.0,129637,39.63,50.64999999999998,-23.44999999999999,1620086400.0
500126,2021-05-04,6350.0,6379.95,6270.3,6285.1,6332.308196721311,610,281,3862708.0,268,43.93,109.64999999999964,-64.89999999999964,1620086400.0
500128,2021-05-04,35.25,37.0,33.65,33.95,35.354339411881874,256037,1134,9052019.0,110550,43.18,3.3500000000000014,-1.2999999999999972,1620086400.0
500133,2021-05-04,1804.85,1810.0,1782.4,1790.55,1802.1615720524017,229,65,412695.0,180,78.6,27.59999999999991,-14.299999999999955,1620086400.0
500135,2021-05-04,219.0,224.7,218.5,222.15,222.6145148821028,10348,616,2303615.0,5585,53.97,6.199999999999989,3.1500000000000057,1620086400.0
500136,2021-05-04,150.7,155.0,145.0,148.25,151.25491600179973,157801,2464,23868177.0,74549,47.24,10.0,-2.4499999999999886,1620086400.0
500142,2021-05-04,1.48,1.48,1.48,1.48,1.48,400,1,592.0,400,100.0,0.0,0.0,1620086400.0
500143,2021-05-04,29.05,31.45,29.05,31.45,29.76,50,5,1488.0,49,98.0,2.3999999999999986,2.3999999999999986,1620086400.0
500144,2021-05-04,360.25,377.45,360.25,364.5,370.96260762607625,8130,527,3015926.0,3204,39.41,17.19999999999999,4.25,1620086400.0
500147,2021-05-04,850.0,855.0,843.0,846.0,848.3635300993571,1711,39,1451550.0,1193,69.73,12.0,-4.0,1620086400.0
500148,2021-05-04,425.0,430.9,413.75,416.45,423.7832446531038,47925,1856,20309812.0,23624,49.29,17.149999999999977,-8.550000000000011,1620086400.0
500150,2021-05-04,1409.4,1469.0,1389.95,1413.15,1426.697894736842,1900,439,2710726.0,1254,66.0,79.04999999999995,3.75,1620086400.0
500151,2021-05-04,43.45,49.0,41.7,42.0,44.606622998544395,2748,79,122579.0,645,23.47,7.299999999999997,-1.4500000000000028,1620086400.0
500153,2021-05-04,68.0,71.0,67.0,67.75,68.78861788617886,51783,416,3562081.0,39777,76.81,4.0,-0.25,1620086400.0
500159,2021-05-04,56.95,57.5,54.0,54.2,54.56370656370656,2072,49,113056.0,1111,53.62,3.5,-2.75,1620086400.0
500160,2021-05-04,5.56,6.06,5.44,6.06,5.927080818941871,136713,213,810309.0,89127,65.19,0.6199999999999992,0.5,1620086400.0
500163,2021-05-04,866.0,866.4,862.05,864.2,864.9302325581396,1419,145,1227336.0,845,59.55,4.350000000000023,-1.7999999999999545,1620086400.0
500164,2021-05-04,511.0,523.45,496.0,502.9,511.08387445887445,9240,443,4722415.0,2559,27.69,27.450000000000045,-8.100000000000023,1620086400.0
500165,2021-05-04,555.3,574.0,555.3,571.4,570.2044253632761,9084,463,5179737.0,3547,39.05,18.700000000000045,16.100000000000023,1620086400.0
500166,2021-05-04,245.0,257.0,235.2,239.8,247.8274837016688,48778,476,12088529.0,27083,55.52,21.80000000000001,-5.199999999999989,1620086400.0
500168,2021-05-04,889.65,917.0,889.65,903.8,907.899173553719,1210,274,1098558.0,830,68.6,27.350000000000023,14.149999999999977,1620086400.0
500170,2021-05-04,9.01,10.33,9.01,9.85,9.642086330935252,556,11,5361.0,400,71.94,1.3200000000000003,0.8399999999999999,1620086400.0
500171,2021-05-04,240.7,245.0,234.25,235.3,240.0762097144431,21782,579,5229340.0,10665,48.96,10.75,-5.399999999999977,1620086400.0
500173,2021-05-04,71.8,75.0,70.15,70.8,71.40483712258532,19309,800,1378756.0,13566,70.26,4.849999999999994,-1.0,1620086400.0
500174,2021-05-04,1.86,1.86,1.86,1.86,1.858649789029536,474,1,881.0,474,100.0,0.0,0.0,1620086400.0
500179,2021-05-04,8.91,8.91,8.55,8.59,8.735537091563652,83887,277,732798.0,56659,67.54,0.35999999999999943,-0.3200000000000003,1620086400.0
500180,2021-05-04,1414.0,1422.85,1384.0,1388.55,1406.7011802550903,443294,14043,623582193.0,197111,44.46,38.84999999999991,-25.450000000000045,1620086400.0
500182,2021-05-04,2776.35,2821.5,2768.0,2776.75,2787.427146927147,19656,1809,54789668.0,4572,23.26,53.5,0.40000000000009095,1620086400.0
500183,2021-05-04,31.3,33.7,30.9,31.3,32.22760038077664,3138848,7549,101157539.0,1634058,52.06,2.8000000000000043,0.0,1620086400.0
500184,2021-05-04,45.2,47.75,45.05,45.25,46.490793395550355,1945234,6926,90435472.0,647880,33.31,2.700000000000003,0.04999999999999716,1620086400.0
500185,2021-05-04,7.8,7.89,7.62,7.65,7.751024651790241,349143,692,2706216.0,216753,62.08,0.2699999999999996,-0.14999999999999947,1620086400.0
500186,2021-05-04,102.95,107.85,101.4,103.7,104.420029963921,65412,1086,6830323.0,26191,40.04,6.449999999999989,0.75,1620086400.0
500187,2021-05-04,157.65,160.2,150.55,151.15,155.73667368421053,11875,576,1849373.0,6570,55.33,9.649999999999977,-6.5,1620086400.0
500188,2021-05-04,303.6,303.6,287.0,290.55,292.7153284671533,253724,8396,74268904.0,113513,44.74,16.600000000000023,-13.050000000000011,1620086400.0
500189,2021-05-04,460.0,465.1,458.0,458.0,461.5709312445605,2298,47,1060690.0,211,9.18,7.100000000000023,-2.0,1620086400.0
500191,2021-05-04,26.0,27.25,25.65,27.0,26.364594309799788,17082,97,450360.0,17082,100.0,1.6000000000000014,1.0,1620086400.0
500192,2021-05-04,1.65,1.65,1.52,1.58,1.634723454599231,3381,12,5527.0,3381,100.0,0.1299999999999999,-0.06999999999999984,1620086400.0
500193,2021-05-04,5.82,6.29,5.82,6.02,6.061583990980834,42576,112,258078.0,38421,90.24,0.46999999999999975,0.1999999999999993,1620086400.0
500199,2021-05-04,475.0,479.7,462.95,466.7,472.9029304029304,8736,496,4131280.0,5072,58.06,16.75,-8.300000000000011,1620086400.0
500201,2021-05-04,510.0,551.9,502.3,508.65,527.7784370075091,86296,2688,45545168.0,20410,23.65,49.599999999999966,-1.3500000000000227,1620086400.0
500206,2021-05-04,9.71,9.71,9.71,9.71,9.5,2,2,19.0,2,100.0,0.0,0.0,1620086400.0
500207,2021-05-04,43.0,47.0,41.7,42.45,43.94538760482716,78224,728,3437584.0,64093,81.94,5.299999999999997,-0.5499999999999972,1620086400.0
500209,2021-05-04,1355.0,1355.0,1325.0,1329.55,1339.036200641464,114114,6302,152802777.0,50120,43.92,30.0,-25.450000000000045,1620086400.0
500210,2021-05-04,738.0,750.5,723.95,738.65,741.6858108108108,5032,413,3732163.0,3182,63.24,26.549999999999955,0.6499999999999773,1620086400.0
500211,2021-05-04,7.2,7.99,7.06,7.54,7.576629180194304,81007,154,613760.0,47672,58.85,0.9300000000000006,0.33999999999999986,1620086400.0
500213,2021-05-04,61.65,61.65,55.1,59.0,58.81224385245902,3904,51,229603.0,3170,81.2,6.549999999999997,-2.6499999999999986,1620086400.0
500214,2021-05-04,1443.5,1455.0,1351.5,1358.75,1396.5365771054414,17716,1108,24741042.0,12234,69.06,103.5,-84.75,1620086400.0
500215,2021-05-04,891.9,978.0,875.45,918.6,930.3324160182198,10538,990,9803843.0,4662,44.24,102.54999999999995,26.700000000000045,1620086400.0
500219,2021-05-04,19.2,19.65,18.85,19.05,19.438011227667474,665677,1071,12939437.0,400103,60.1,0.7999999999999972,-0.14999999999999858,1620086400.0
500220,2021-05-04,67.35,67.85,64.1,65.15,66.40207704205642,13577,82,901541.0,12025,88.57,3.75,-2.1999999999999886,1620086400.0
500223,2021-05-04,1.02,1.04,0.93,1.0,0.9832038338063556,1397045,374,1373580.0,871121,62.35,0.10999999999999999,-0.020000000000000018,1620086400.0
500227,2021-05-04,797.0,803.15,742.0,751.1,776.7258834014889,38148,2056,29630539.0,15735,41.25,61.14999999999998,-45.89999999999998,1620086400.0
500228,2021-05-04,730.0,737.45,711.2,715.25,722.4534277668643,681114,11886,492073144.0,101490,14.9,26.25,-14.75,1620086400.0
500231,2021-05-04,61.55,62.0,58.5,59.1,60.43222985633979,4803,221,290256.0,3225,67.15,3.5,-2.4499999999999957,1620086400.0
500233,2021-05-04,942.8,942.8,901.0,911.25,918.8909523809524,4200,489,3859342.0,1767,42.07,41.799999999999955,-31.549999999999955,1620086400.0
500234,2021-05-04,244.0,258.0,216.0,220.45,238.53871640956132,46479,2447,11087041.0,24469,52.65,42.0,-23.55000000000001,1620086400.0
500235,2021-05-04,382.05,386.6,367.0,369.15,378.1334002006018,14955,715,5654985.0,6216,41.56,19.600000000000023,-12.900000000000034,1620086400.0
500236,2021-05-04,1.94,1.94,1.94,1.94,1.94,1100,3,2134.0,1100,100.0,0.0,0.0,1620086400.0
500238,2021-05-04,2249.0,2249.0,2191.1,2194.9,2217.917590027701,1444,303,3202673.0,726,50.28,57.90000000000009,-54.09999999999991,1620086400.0
500239,2021-05-04,28.9,33.95,27.9,32.05,32.42266067147984,70501,380,2285830.0,51958,73.7,6.050000000000004,3.1499999999999986,1620086400.0
500240,2021-05-04,40.15,40.55,39.8,40.0,40.0125,1600,23,64020.0,1600,100.0,0.75,-0.14999999999999858,1620086400.0
500241,2021-05-04,252.15,255.75,241.2,243.0,249.11644514977186,5041,319,1255796.0,2176,43.17,14.550000000000011,-9.150000000000006,1620086400.0
500243,2021-05-04,1305.0,1316.0,1300.0,1300.0,1306.8450363196125,413,119,539727.0,354,85.71,16.0,-5.0,1620086400.0
500245,2021-05-04,218.05,220.75,210.0,212.75,215.45307033866766,40305,1403,8683836.0,20114,49.9,10.75,-5.300000000000011,1620086400.0
500247,2021-05-04,1746.2,1764.1,1725.4,1732.15,1747.0783514212526,323236,6480,564718618.0,237851,73.58,38.69999999999982,-14.049999999999955,1620086400.0
